[01:46:07	]ISpilledMyRamen has connected.
[01:46:42	]ISpilledMyRamen loaded the character 'GENERIC VORT NAME HERE'
[01:46:47	]GENERIC VORT NAME HERE is fully healed.
[01:47:10	]GENERIC VORT NAME HERE opened the 'File Cabinet' #76188 container.
[01:47:14	]GENERIC VORT NAME HERE closed the 'File Cabinet' #76188 container.
[01:47:23	]ISpilledMyRamen loaded the character 'Ulysses Nathius'
[01:47:23	]Ulysses Nathius their 'indigent stash' stash no longer exists, location reset.
[01:47:52	]ISpilledMyRamen (STEAM_0:0:426186854) has disconnected.
[19:16:31	]Atle has connected.
[19:20:13	]Atle loaded the character 'galunga'
[19:20:49	]galunga entered observer.
[19:21:03	]galunga exited observer at their location.
[19:21:06	]galunga entered observer.
[19:21:43	]galunga exited observer at their location.
[19:22:15	]galunga has fired a toolgun with the name: camera
[19:22:32	][IC] galunga: Htrh.
[19:22:46	]galunga used command '/CharEditBodygroup galunga'.
[19:22:55	]galunga has changed galunga's bodygroups.
[19:23:05	]galunga used command '/CharEditBodygroup galunga'.
[19:23:09	]galunga has changed galunga's bodygroups.
[19:23:13	]galunga used command '/CharEditBodygroup galunga'.
[19:23:16	]galunga has changed galunga's bodygroups.
[19:23:23	]galunga used command '/CharEditBodygroup galunga'.
[19:23:49	]galunga used command '/CharEditBodygroup galunga'.
[19:23:59	]galunga has changed galunga's bodygroups.
[19:24:13	]galunga used command '/CharEditBodygroup galunga'.
[19:24:26	]galunga has changed galunga's bodygroups.
[19:24:38	]galunga used command '/CharEditBodygroup galunga'.
[19:24:41	]galunga has changed galunga's bodygroups.
[19:24:50	]galunga used command '/CharEditBodygroup galunga'.
[19:24:52	]galunga has changed galunga's bodygroups.
[19:24:59	]galunga used command '/CharEditBodygroup galunga'.
[19:25:02	]galunga has changed galunga's bodygroups.
[19:25:05	]galunga used command '/CharEditBodygroup galunga'.
[19:25:10	]galunga has changed galunga's bodygroups.
[19:25:15	]galunga used command '/CharEditBodygroup galunga'.
[19:25:33	]galunga has changed galunga's bodygroups.
[19:25:45	]galunga used command '/CharEditBodygroup galunga'.
[19:25:49	]galunga has changed galunga's bodygroups.
[19:25:53	]galunga used command '/CharEditBodygroup galunga'.
[19:26:25	]galunga has changed galunga's bodygroups.
[19:26:57	]galunga used command '/CharEditBodygroup galunga'.
[19:27:01	]galunga has changed galunga's bodygroups.
[19:27:17	]galunga used command '/CharEditBodygroup galunga'.
[19:27:31	]galunga used command '/CharEditBodygroup galunga'.
[19:27:34	]galunga has changed galunga's bodygroups.
[19:27:43	]galunga used command '/CharEditBodygroup galunga'.
[19:29:26	]galunga has changed galunga's bodygroups.
[19:29:28	]galunga entered observer.
[19:29:40	]galunga exited observer at their location.
[19:29:44	]galunga has fired a toolgun with the name: camera
[19:30:16	]galunga used command '/CharEditBodygroup galunga'.
[19:30:19	]galunga has changed galunga's bodygroups.
[19:30:34	]galunga used command '/CharEditBodygroup galunga'.
[19:30:38	]galunga has changed galunga's bodygroups.
[19:30:55	]galunga used command '/CharEditBodygroup galunga'.
[19:30:58	]galunga has changed galunga's bodygroups.
[19:31:30	]Atle loaded the character 'shop owner'
[19:31:41	]shop owner entered observer.
[19:31:51	]shop owner exited observer at their location.
[19:32:24	]shop owner entered observer.
[19:32:27	]shop owner exited observer at their location.
[19:32:27	]shop owner entered observer.
[19:32:35	]shop owner exited observer at their location.
[19:32:48	]shop owner has spawned a 'Entity [391][ix_pickupterminal]'.
[19:32:57	]shop owner has spawned a 'Entity [393][ix_terminal]'.
[19:33:31	][IC] shop owner: Thrh.
[19:33:41	]shop owner used command '/PlyGiveFlag owner U'.
[19:33:48	]shop owner used command '/CharGiveItem owner pda'.
[19:33:48	]shop owner has gained a 'Combine PDA' #1649911.
[19:33:50	]shop owner ran 'Equip' on item 'Combine PDA' (#1649911)
[19:34:56	]shop owner used command '/ID'.
[19:38:09	]shop owner has given himself a file_cabinet.
[19:38:09	]shop owner has gained a 'File Cabinet' #1649912.
[19:38:24	]shop owner ran 'Place' on item 'File Cabinet' (#1649912)
[19:40:53	]Atle (STEAM_0:0:21027108) has disconnected.
[20:09:17	]Atle has connected.
[20:10:15	]Atle loaded the character 'galunga'
[20:10:23	]galunga entered observer.
[20:10:28	]galunga exited observer at their location.
[20:10:32	]galunga has fired a toolgun with the name: camera
[20:10:48	]galunga used command '/CharEditBodygroup galung'.
[20:11:00	]galunga has changed galunga's bodygroups.
[20:11:38	]galunga used command '/CharEditBodygroup galung'.
[20:11:51	]galunga has changed galunga's bodygroups.
[20:13:35	]Atle (STEAM_0:0:21027108) has disconnected.
