[04:36:28	]ISpilledMyRamen has connected.
[04:37:04	]ISpilledMyRamen loaded the character 'GENERIC VORT NAME HERE'
[04:37:09	]GENERIC VORT NAME HERE is fully healed.
[04:37:26	]GENERIC VORT NAME HERE opened the 'File Cabinet' #76188 container.
[04:37:30	]GENERIC VORT NAME HERE has transferred a 'applicatorItemName' #1649873 to a container with the name 'File Cabinet' #76188.
[04:37:31	]GENERIC VORT NAME HERE has transferred a 'hoseItemName' #1649874 to a container with the name 'File Cabinet' #76188.
[04:37:32	]GENERIC VORT NAME HERE closed the 'File Cabinet' #76188 container.
[04:37:37	]GENERIC VORT NAME HERE used command '/LinkRemove'.
[04:38:03	]GENERIC VORT NAME HERE used command '/LinkAccount 1730'.
[04:38:08	]GENERIC VORT NAME HERE used command '/LinkAccount ramen'.
[04:38:23	]GENERIC VORT NAME HERE used command '/LinkComplete eNYD0lOGKJ1i'.
[04:39:42	]GENERIC VORT NAME HERE has gained level 2 in the Vortessence skill.
[04:39:56	]GENERIC VORT NAME HERE has gained level 1 in the Speed skill.
[04:40:13	]GENERIC VORT NAME HERE has pressed the "VIC_CheckpointAlarm" map button.
[04:40:14	]GENERIC VORT NAME HERE has pressed the "VIC_CheckpointAlarm" map button.
[04:40:16	]GENERIC VORT NAME HERE has pressed the "VIC_CheckpointGate" map button.
[04:42:28	]GENERIC VORT NAME HERE used command '/ToggleVortalSensing'.
[04:42:32	]GENERIC VORT NAME HERE used command '/ToggleFlight'.
[04:42:38	]GENERIC VORT NAME HERE used command '/ToggleRaise'.
[04:45:00	]GENERIC VORT NAME HERE used command '/CharFallOver 0'.
[04:45:01	]GENERIC VORT NAME HERE used command '/CharGetUp'.
[04:45:45	]ISpilledMyRamen (STEAM_0:0:426186854) has disconnected (timed out).
