[03:01:05	]ISpilledMyRamen has connected.
[03:01:45	]ISpilledMyRamen (STEAM_0:0:426186854) has disconnected.
[09:20:56	]Atle has connected.
[09:21:31	]Atle loaded the character 'galunga'
[09:22:44	]Atle (STEAM_0:0:21027108) has disconnected.
[19:40:04	]Atle has connected.
[19:40:57	]Atle loaded the character 'galunga'
[19:42:21	]galunga has spawned 'models/willardnetworks/vortigaunt.mdl'.
[19:43:07	]galunga ran 'drop' on item 'Vortigaunt Brown Trench Coat' (#1649547)
[19:43:07	]galunga has lost a 'Vortigaunt Brown Trench Coat' #1649547.
[19:43:09	]galunga ran 'take' on item 'Vortigaunt Brown Trench Coat' (#1649547)
[19:43:09	]galunga has gained a 'Vortigaunt Brown Trench Coat' #1649547.
[19:44:33	]galunga has given himself a legs_light_grey_pants.
[19:44:33	]galunga has gained a 'Grey Trousers' #1649550.
[19:46:46	]galunga has given himself a vortigaunt_bandana.
[19:46:46	]galunga has gained a 'Vortigaunt Bandanna' #1649551.
[19:46:48	]galunga has given himself a vortigaunt_head_chefhat.
[19:46:48	]galunga has gained a 'Vortigaunt Chef Hat' #1649552.
[19:47:55	]galunga has given himself a vortigaunt_slave_shackles_fake.
[19:47:55	]galunga has gained a 'Vortigaunt Shackles (fake)' #1649553.
[19:48:03	]galunga has given himself a vortigaunt_slave_collar_fake.
[19:48:03	]galunga has gained a 'Vortigaunt Collar (fake)' #1649554.
[19:50:15	]galunga has spawned 'models/n7/vorti_outfit/doc02.mdl'.
[19:50:31	]galunga has spawned 'models/willardnetworks/vort_clothingitems/vort_doc.mdl'.
[19:50:53	]galunga has spawned 'models/willardnetworks/vort_clothingitems/vort_sweater_cwu.mdl'.
[19:50:55	]galunga has spawned 'models/willardnetworks/vort_clothingitems/vort_sweater.mdl'.
[19:52:06	]galunga entered observer.
[19:52:11	]galunga exited observer at their location.
[20:00:46	]galunga used command '/clothingcreator'.
[20:24:21	]galunga has spawned 'models/n7/vorti_outfit/light01.mdl'.
[20:24:24	]galunga has spawned 'models/n7/vorti_outfit/light02.mdl'.
[20:24:30	]galunga entered observer.
[20:24:34	]galunga exited observer at their location.
[20:33:57	]galunga has gone afk.
[20:34:32	]Atle (STEAM_0:0:21027108) has disconnected.
