[04:16:41	]ISpilledMyRamen has connected.
[04:17:15	]ISpilledMyRamen loaded the character 'Ulysses Nathius'
[04:17:20	]Ulysses Nathius is fully healed.
[04:17:32	]Ulysses Nathius used command '/LinkRemove'.
[04:17:37	]Ulysses Nathius used command '/LinkAccount ramen'.
[04:17:54	]Ulysses Nathius used command '/LinkComplete h7qvx9dqWi4y'.
[04:17:58	]Ulysses Nathius has spawned 'models/props_c17/FurnitureCouch002a.mdl'.
[04:19:59	]Console ran SAM command 'setrank' with arguments: 'uly' 'gamemaster'
[04:20:45	][OOC] Ulysses Nathius: yippie!
[04:21:00	]Ulysses Nathius has spawned a 'Entity [6324][ix_combinemonitor_small]'.
[04:21:05	]Ulysses Nathius has spawned a 'Entity [6324][ix_crackedprinter]'.
[04:21:15	]Ulysses Nathius has spawned a 'Entity [6324][arcade_pacman]'.
[04:21:22	]Ulysses Nathius has spawned a 'Entity [6329][arcade_pong]'.
[04:21:28	]Ulysses Nathius has spawned a 'Entity [6330][arcade_spaceinvaders]'.
[04:21:45	]Ulysses Nathius has spawned a funnybugbait.
[04:21:48	]Ulysses Nathius ran 'take' on item 'Pheropod' (#2046391)
[04:21:48	]Ulysses Nathius has gained a 'Pheropod' #2046391.
[04:21:51	]Ulysses Nathius ran 'Equip' on item 'Pheropod' (#2046391)
[04:22:02	]Ulysses Nathius ran 'drop' on item 'Pheropod' (#2046391)
[04:22:02	]Ulysses Nathius has lost a 'Pheropod' #2046391.
[04:22:04	]Ulysses Nathius ran 'take' on item 'Pheropod' (#2046391)
[04:22:04	]Ulysses Nathius has gained a 'Pheropod' #2046391.
[04:22:19	]Ulysses Nathius has spawned a 'Entity [6324][npc_antlionguard_burrowed]'.
[04:22:23	]Ulysses Nathius has spawned a 'NPC [6324][npc_antlion]'.
[04:22:24	]Ulysses Nathius has taken 5 damage from npc_antlion.
[04:22:26	]Ulysses Nathius has taken 5 damage from npc_antlion.
[04:22:27	]Ulysses Nathius ran 'Equip' on item 'Pheropod' (#2046391)
[04:22:28	]Ulysses Nathius has taken 5 damage from npc_antlion.
[04:22:37	]Ulysses Nathius has spawned a 'NPC [6324][npc_headcrab_fast]'.
[04:22:38	]Ulysses Nathius has spawned a 'NPC [6324][npc_headcrab_fast]'.
[04:22:39	]Ulysses Nathius has taken 5 damage from npc_headcrab_fast.
[04:22:41	]Ulysses Nathius has spawned a 'NPC [6328][npc_antlion]'.
[04:22:42	]Ulysses Nathius has taken 5 damage from npc_antlion.
[04:22:43	]Ulysses Nathius has taken 5 damage from npc_antlion.
[04:22:48	]Ulysses Nathius ran 'EquipUn' on item 'Pheropod' (#2046391)
[04:22:52	]Ulysses Nathius ran 'drop' on item 'Pheropod' (#2046391)
[04:22:52	]Ulysses Nathius has lost a 'Pheropod' #2046391.
[04:22:59	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:01	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046378)
[04:23:01	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046378.
[04:23:02	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046385)
[04:23:02	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046385.
[04:23:02	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046384)
[04:23:02	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046384.
[04:23:02	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046379)
[04:23:02	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046379.
[04:23:03	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046383)
[04:23:03	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046383.
[04:23:03	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2031401)
[04:23:03	]Ulysses Nathius has lost a 'Empty Breen's Water' #2031401.
[04:23:04	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046388)
[04:23:04	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046388.
[04:23:04	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046382)
[04:23:04	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046382.
[04:23:05	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046381)
[04:23:05	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046381.
[04:23:06	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046387)
[04:23:06	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046387.
[04:23:07	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046376)
[04:23:07	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046376.
[04:23:07	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:07	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:07	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:07	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:08	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:08	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:08	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:08	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:08	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:09	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:09	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:09	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:09	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:09	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:09	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:10	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:10	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:10	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:10	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:10	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:11	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:11	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:11	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:12	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046377)
[04:23:12	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046377.
[04:23:13	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046380)
[04:23:13	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046380.
[04:23:14	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046375)
[04:23:14	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046375.
[04:23:14	]Ulysses Nathius ran 'drop' on item 'Empty Breen's Water' (#2046386)
[04:23:14	]Ulysses Nathius has lost a 'Empty Breen's Water' #2046386.
[04:23:15	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:15	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:15	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:15	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:15	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:16	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:16	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:16	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:16	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:16	]Ulysses Nathius has fired a toolgun with the name: remover
[04:23:36	]Ulysses Nathius used command '/SetDatafilePoints Ulysses 400'.
[04:23:53	]Ulysses Nathius has spawned a capda.
[04:23:55	]Ulysses Nathius ran 'take' on item 'Civil Administration PDA' (#2046392)
[04:23:55	]Ulysses Nathius has gained a 'Civil Administration PDA' #2046392.
[04:23:56	]Ulysses Nathius ran 'Equip' on item 'Civil Administration PDA' (#2046392)
[04:24:08	]Ulysses Nathius has spawned a pda.
[04:24:08	]Ulysses Nathius has spawned a pda.
[04:24:10	]Ulysses Nathius ran 'take' on item 'Combine PDA' (#2046394)
[04:24:10	]Ulysses Nathius has gained a 'Combine PDA' #2046394.
[04:24:13	]Ulysses Nathius has fired a toolgun with the name: remover
[04:24:15	]Ulysses Nathius ran 'Equip' on item 'Combine PDA' (#2046394)
