[20:28:42	]Hayden has connected.
[20:30:12	]Hayden (STEAM_0:1:22038366) deleted character 'Bubba'
[20:30:22	]Hayden (STEAM_0:1:22038366) deleted character 'Jonathan Douglas'
[20:30:28	]Hayden (STEAM_0:1:22038366) deleted character 'hayden!!adayden!!!!'
[20:30:53	]Hayden loaded the character 'Major Jonathan Stringer'
[20:31:12	]Major Jonathan Stringer entered observer.
[20:31:31	]Major Jonathan Stringer used command '/PlyWhitelist Major Server'.
[20:31:36	]Major Jonathan Stringer used command '/PlyWhitelist Major Civil'.
[20:31:41	]Major Jonathan Stringer used command '/PlyWhitelist Major Protection'.
[20:32:23	]Hayden created the character 'C17:RCT.YELLO-33'
[20:32:23	]Major Jonathan Stringer has gained level 5 in the Guns skill.
[20:32:23	]Major Jonathan Stringer has gained level 10 in the Speed skill.
[20:32:23	]Hayden loaded the character 'C17:RCT.YELLO-33'
[20:32:23	]C17:RCT.YELLO-33 has gained a '#42224's Identity Card' #1652338.
[20:32:23	]C17:RCT.YELLO-33 has gained a 'Combine PDA' #1652339.
[20:32:23	]C17:RCT.YELLO-33 has gained a 'CP Uniform' #1652340.
[20:32:23	]C17:RCT.YELLO-33 has gained a 'CP Mask' #1652341.
[20:32:23	]C17:RCT.YELLO-33 has gained a 'Handheld Radio' #1652342.
[20:32:23	]C17:RCT.YELLO-33 has gained a 'Small Bag' #1652343.
[20:32:23	]C17:RCT.YELLO-33 has gained a 'Large Bag' #1652344.
[20:32:29	]C17:RCT.YELLO-33 entered observer.
[20:32:36	]C17:RCT.YELLO-33 used the 'John Doe' vendor.
[20:32:47	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:32:49	]C17:RCT.YELLO-33 used the 'John Doe' vendor.
[20:33:35	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:35	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:36	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:36	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:36	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:37	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:37	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:37	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:38	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:38	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:39	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:39	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:39	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:40	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:40	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:40	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:41	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:42	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:43	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:43	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:43	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:44	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:45	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:45	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:46	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:46	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:49	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:49	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:51	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:51	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:51	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:52	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:52	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:52	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:53	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:53	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:54	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:55	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:56	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:57	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:58	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:58	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:59	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:33:59	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:02	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:03	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:03	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:03	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:04	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:04	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:05	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:05	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:05	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:06	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:34:15	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:34:35	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:35:10	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:11	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:12	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:12	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:14	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:19	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:20	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:25	]C17:RCT.YELLO-33 has used a context menu option with the name: rb655_door_lock
[20:35:26	]C17:RCT.YELLO-33 exited observer at their location.
[20:35:27	]C17:RCT.YELLO-33 entered observer.
[20:35:47	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:47	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:47	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:48	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:48	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:49	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:35:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: remover
[20:36:19	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/junkwall04.mdl'.
[20:36:34	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/junkwall04.mdl'.
[20:37:09	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/walkwaybendstairs02.mdl'.
[20:37:17	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/walkwaybendstairs02.mdl'.
[20:37:25	]C17:RCT.YELLO-33 has fired a toolgun with the name: creator
[20:37:25	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/steps.mdl'.
[20:37:44	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:37:44	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/steps.mdl'.
[20:37:58	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/steps.mdl'.
[20:38:11	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/steps.mdl'.
[20:38:23	]C17:RCT.YELLO-33 exited observer at their location.
[20:38:33	]C17:RCT.YELLO-33 has used a context menu option with the name: collision_off
[20:38:33	]C17:RCT.YELLO-33 entered observer.
[20:38:43	]C17:RCT.YELLO-33 exited observer at their location.
[20:38:46	]C17:RCT.YELLO-33 entered observer.
[20:38:49	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricadeplate02.mdl'.
[20:38:52	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:38:53	]C17:RCT.YELLO-33 exited observer at their location.
[20:39:07	]C17:RCT.YELLO-33 entered observer.
[20:39:13	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:39:18	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:39:24	]C17:RCT.YELLO-33 has fired a toolgun with the name: nocollideworld
[20:39:30	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:39:36	]C17:RCT.YELLO-33 has fired a toolgun with the name: nocollideworld
[20:39:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:39:50	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:39:51	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:39:53	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:39:54	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:39:54	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:39:55	]C17:RCT.YELLO-33 has fired a toolgun with the name: weld
[20:40:02	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:40:02	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:02	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:02	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:06	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:40:06	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:06	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:06	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:08	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:40:08	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:08	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:08	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
[20:40:12	]C17:RCT.YELLO-33 has fired a toolgun with the name: duplicator
[20:40:12	]C17:RCT.YELLO-33 has spawned 'models/mosi/fallout4/props/fortifications/bos/barricade.mdl'.
