[18:54:21	]ISpilledMyRamen has connected.
[18:55:00	]ISpilledMyRamen loaded the character 'Arga'Lahh'
[18:55:00	]Arga'Lahh their 'triumph street stash' stash no longer exists, location reset.
[18:55:05	]Arga'Lahh is fully healed.
[18:55:54	]Arga'Lahh ran 'RequestMed' on item 'Request Device' (#1378273)
[18:56:17	]Arga'Lahh ran 'drop' on item 'Vortigaunt Hooks' (#1247521)
[18:56:23	]Arga'Lahh ran 'Equip' on item 'Suitcase' (#1610290)
[18:56:44	]ISpilledMyRamen loaded the character 'GENERIC VORT NAME HERE'
[18:56:49	]GENERIC VORT NAME HERE is fully healed.
[18:57:28	]GENERIC VORT NAME HERE used command '/vortessence'.
[19:00:27	]GENERIC VORT NAME HERE used command '/EnterMeditation'.
[19:00:33	]GENERIC VORT NAME HERE used command '/ActIdle'.
[19:00:51	]GENERIC VORT NAME HERE used command '/ExitAct'.
[19:00:58	]GENERIC VORT NAME HERE used command '/EnterMeditation'.
[19:01:34	]ISpilledMyRamen (STEAM_0:0:426186854) has disconnected.
[21:17:12	]Tony The Tiger has connected.
[21:18:05	]Tony The Tiger loaded the character 'Varos Atkins'
[21:18:09	]Varos Atkins is fully healed.
[21:22:25	]Tony The Tiger (STEAM_0:0:49210697) deleted character 'test 123'
[21:23:01	]Tony The Tiger loaded the character 'Ozbourne Trevino'
[21:32:01	]Ozbourne Trevino has gone afk.
[21:40:46	]Ozbourne Trevino is no longer afk. Total time spent AFK: 820
[21:42:56	]Tony The Tiger (STEAM_0:0:49210697) has disconnected.
[23:00:14	]Rabithunter has connected.
[23:00:59	]Rabithunter loaded the character 'Jenifer Maesroe'
[23:01:04	]Jenifer Maesroe is fully healed.
[23:01:32	]Jenifer Maesroe has given himself a mop_radio.
[23:01:32	]Jenifer Maesroe has gained a 'MOP Radio' #1658888.
[23:01:48	]Jenifer Maesroe ran 'ToggleOn' on item 'MOP Radio' (#1658888)
[23:01:54	]Jenifer Maesroe ran 'ToggleOff' on item 'MOP Radio' (#1658888)
[23:02:07	]Jenifer Maesroe used command '/PlyTransfer maesroe administration'.
[23:02:24	]Rabithunter loaded the character 'Jody Mayflower'
[23:02:29	]Jody Mayflower is fully healed.
[23:02:40	]Rabithunter loaded the character 'Jenifer Maesroe'
[23:02:56	]Jenifer Maesroe ran 'ToggleOn' on item 'MOP Radio' (#1658888)
[23:03:27	]Jenifer Maesroe used command '/SC mop'.
[23:03:31	]Jenifer Maesroe used command '/Radio helo'.
[23:03:45	]Jenifer Maesroe used command '/Radio minister test one two'.
[23:10:10	]Jenifer Maesroe has gone afk.
[23:10:20	]Jenifer Maesroe is no longer afk. Total time spent AFK: 305
[23:10:23	]Jenifer Maesroe entered observer.
